rank,metro,per100k,reports
1,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",903,"55,457"
2,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",690,"42,616"
3,"Houston-Pasadena-The Woodlands, TX Metropolitan Statistical Area",573,"41,668"
4,"Las Vegas-Henderson-North Las Vegas, NV Metropolitan Statistical Area",570,"13,075"
5,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",555,"15,099"
6,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",550,"71,624"
7,"Baton Rouge, LA Metropolitan Statistical Area",528,"4,604"
8,"Killeen-Temple, TX Metropolitan Statistical Area",482,"2,340"
9,"Odessa, TX Metropolitan Statistical Area",479,782
10,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",475,"37,114"
11,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",473,"3,598"
12,"Macon-Bibb County, GA Metropolitan Statistical Area",461,"1,079"
13,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",456,"28,438"
14,"Savannah, GA Metropolitan Statistical Area",437,"1,801"
15,"LaGrange, GA-AL Micropolitan Statistical Area",434,453
16,"New Orleans-Metairie, LA Metropolitan Statistical Area",432,"4,268"
17,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",431,"13,953"
18,"Albany, GA Metropolitan Statistical Area",413,606
19,"Memphis, TN-MS-AR Metropolitan Statistical Area",410,"5,502"
20,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",405,"19,929"
21,"Port St. Lucie, FL Metropolitan Statistical Area",405,"2,051"
22,"Chicago-Naperville-Elgin, IL-IN Metropolitan Statistical Area",401,"37,486"
23,"Midland, TX Metropolitan Statistical Area",400,707
24,"Columbus, GA-AL Metropolitan Statistical Area",399,"1,302"
25,"Kankakee, IL Metropolitan Statistical Area",392,419
26,"Montgomery, AL Metropolitan Statistical Area",387,"1,491"
27,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",375,"1,487"
28,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",374,"10,144"
29,"Sumter, SC Metropolitan Statistical Area",374,392
30,"Tallahassee, FL Metropolitan Statistical Area",365,"1,417"
31,"Jacksonville, FL Metropolitan Statistical Area",364,"5,986"
32,"East Stroudsburg, PA Micropolitan Statistical Area",362,608
33,"Naples-Marco Island, FL Metropolitan Statistical Area",362,"1,402"
34,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",359,"15,687"
35,"Dover, DE Metropolitan Statistical Area",358,663
36,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",350,"2,641"
37,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",344,"2,727"
38,"Greenville, NC Metropolitan Statistical Area",344,592
39,"New York-Newark-Jersey City, NY-NJ Metropolitan Statistical Area",343,"67,819"
40,"Shreveport-Bossier City, LA Metropolitan Statistical Area",343,"1,334"
41,"Warner Robins, GA Metropolitan Statistical Area",343,669
42,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",343,"15,889"
43,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",342,"2,113"
44,"Charleston-North Charleston, SC Metropolitan Statistical Area",341,"2,790"
45,"Phoenix-Mesa-Chandler, AZ Metropolitan Statistical Area",338,"16,677"
46,"Birmingham, AL Metropolitan Statistical Area",336,"3,968"
47,"Columbia, SC Metropolitan Statistical Area",328,"2,758"
48,"Mobile, AL Metropolitan Statistical Area",328,"1,355"
49,"Tuscaloosa, AL Metropolitan Statistical Area",328,902
50,"Cleveland, OH Metropolitan Statistical Area",328,"7,115"
51,"Fayetteville, NC Metropolitan Statistical Area",325,"1,268"
